YBR015c YBR023c
YBR015c YCR009c
YBR015c YDR388w
YBR017c YDR192c
YBR017c YGL092w
YBR017c YGL172w
YBR017c YGR119c
YBR017c YKL068w
YBR017c YMR047c
YBR017c YNR069c
YBR020w YER081w
YBR020w YML051w
YBR021w YEL021w
YBR021w YOR128c
YBR023c YBR057c
YBR023c YBR077c
YBR023c YBR234c
YBR023c YCR009c
YBR023c YDL029w
YBR023c YDL032w
YBR023c YDL033c
YBR023c YDL223c
YBR023c YDR129c
YBR023c YDR245w
YBR023c YDR388w
YBR023c YEL044w
YBR023c YER111c
YBR023c YFR019w
YBR023c YGL084c
YBR023c YGL212w
YBR023c YGL240w
YBR023c YGR229c
YBR023c YHR030c
YBR023c YJL148w
YBR023c YJR073c
YBR023c YKL079w
YBR023c YLL039c
YBR023c YLR087c
YBR023c YLR110c
YBR023c YLR338w
YBR023c YLR342w
YBR023c YLR370c
YBR023c YML115c
YBR023c YMR060c
YBR023c YMR116c
YBR023c YMR307w
YBR023c YNL079c
YBR023c YNL171c
YBR023c YNL271c
YBR023c YNL298w
YBR023c YNL322c
YBR023c YNR051c
YBR023c YOR035c
YBR023c YOR326w
YBR023c YPL055c
YBR024w YBR037c
YBR024w YPR119w
YBR027c YKL130c
YBR027c YLR353w
YBR027c YMR047c
YBR028c YLR447c
YBR033w YNL228w
YBR034c YDR249c
YBR034c YDR432w
YBR034c YER017c
YBR034c YGR165w
YBR034c YGR181w
YBR034c YNL078w
YBR035c YNL189w
YBR036c YBR265w
YBR036c YDL015c
YBR036c YDR062w
YBR036c YKL203c
YBR036c YLR103c
YBR036c YOL004w
YBR036c YOR070c
YBR036c YPL231w
YBR037c YLL009c
YBR038w YHR123w
YBR038w YPL020c
YBR038w YPR106w
YBR039w YPR024w
YBR041w YDL153c
YBR042c YER081w
YBR042c YPR159w
YBR043c YGR074w
YBR043c YJL155c
YBR044c YKL141w
YBR044c YKL148c
YBR044c YLL041c
YBR045c YDR103w
YBR045c YIL045w
YBR045c YOR329c
YBR046c YDR103w
